,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Heatrate,CHP,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,plant life,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?,fuel switching
146,20806,City of Windom,2023,Windom,MN,Cottonwood,GT1,Petroleum Liquids,GT,,S,X,X,,,20125,0,3,0.85,2.5,3,1,N, , ,RE,X,6,1980,4,2022,41.83333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,N, ,1H,,,,,,,,N,N,N,0
147,17568,Cooperative Energy,2068,Benndale,MS,George,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,SME.BENN_GT,,24174.96413,0,16.2,0.85,14,16.2,14,N, , ,RE,X,10,1969,3,2018,48.41666667,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,1H,,,,,,,,N,N,N,0
148,17568,Cooperative Energy,2071,Paulding,MS,Jasper,1,Petroleum Liquids,GT,,S,X,X,SME.PAULDING,,17757.03767,0,20,0.85,16,20,16,N, , ,RE,X,1,1972,8,2017,45.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,1H,,,,,,,,N,,,0
149,19436,Union Electric Co - (MO),2083,Kirksville,MO,Adair,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,AMMO.KIRK2CTG1,AMMO.KIRK2CTG1,29902.9903,0,15,0.85,13,16,4,N, , ,RE,X,12,1967,1,2018,50.08333333,N,Electric Utility,1,X,NG,,,,,,,,,,N,, ,1H,,,,,,,,N,,,0
150,19436,Union Electric Co - (MO),2104,Meramec,MO,St Louis,GT1,Petroleum Liquids,GT,,S,X,X,,,14509.40573,0,62,0.9,54,68,6,N, , ,RE,X,6,1974,12,2022,48.5,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,OVER,,,,,,,,N,,N,0
151,19436,Union Electric Co - (MO),2104,Meramec,MO,St Louis,GT2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,14509.40573,0,56,0.9,45,61,15,N, , ,RE,X,6,2000,12,2022,22.5,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,N,0
152,63033,"Gilbert Power, LLC",2393,Gilbert,NJ,Hunterdon,C1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50700,50700,15125.7207,0,24,0.9,20,25,20,N, , ,RE,X,7,1970,5,2015,44.83333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,N,N,N,0
153,63033,"Gilbert Power, LLC",2393,Gilbert,NJ,Hunterdon,C2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50701,50701,15125.7207,0,24,0.9,22,28,22,N, , ,RE,X,10,1970,5,2015,44.58333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,N,N,N,0
154,63033,"Gilbert Power, LLC",2393,Gilbert,NJ,Hunterdon,C3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50702,50702,15125.7207,0,24,0.9,22,28,22,N, , ,RE,X,8,1970,5,2015,44.75,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,N,N,Y,1
155,63033,"Gilbert Power, LLC",2393,Gilbert,NJ,Hunterdon,C4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50695,50695,15125.7207,0,24,0.9,22,28,22,N, , ,RE,X,7,1970,5,2015,44.83333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,N,N,Y,1
156,65385,Bergen Generating Station,2398,Bergen Generating Station,NJ,Bergen,3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50402,BERGEN  13 KV,27619.57731,0,18.6,0.85,21,21,21,N, , ,RE,X,7,1967,6,2015,47.91666667,N,IPP Non-CHP,2,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
157,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,11,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50406,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,5,1971,6,2015,44.08333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
158,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,12,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50407,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,5,1971,6,2015,44.08333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
159,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,13,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50408,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,5,1971,6,2015,44.08333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
160,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,14,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50409,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,5,1971,6,2015,44.08333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
161,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,21,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50410,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,20,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
162,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,22,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50411,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
163,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,23,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50412,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
164,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,24,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50413,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
165,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,31,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50414,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
166,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,32,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50415,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
167,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,33,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50416,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
168,15147,PSEG Fossil LLC,2400,PSEG Edison Generating Station,NJ,Middlesex,34,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50417,EDISON  13 KV,39153.71836,0,41.8,0.9,43,43,41,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
169,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,101,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50420,ESSEX   13 KV,13982.61413,0,41.8,0.9,43,43,38,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,Y,Y,1
170,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,102,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50421,ESSEX   13 KV,13982.61413,0,41.8,0.9,43,43,38,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,Y,Y,1
171,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,103,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50422,ESSEX   13 KV,13982.61413,0,41.8,0.9,43,43,38,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,Y,Y,1
172,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,104,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50423,ESSEX   13 KV,13982.61413,0,41.8,0.9,43,43,38,N, , ,RE,X,6,1971,6,2015,44,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,Y,Y,1
