,Plant ID,Combined Heat & Power Plant,Nuclear Unit I.D.,Plant Name,Operator Name,Operator ID,State,Census Region,NERC Region,Reserved ,NAICS Code,EIA Sector Number,Sector Name,Reported Prime Mover,Reported Fuel Type Code,AER Fuel Type Code,Reserved .1,Reserved .2,Physical Unit Label,QUANTITY_JAN,QUANTITY_FEB,QUANTITY_MAR,QUANTITY_APR,QUANTITY_MAY,QUANTITY_JUN,QUANTITY_JUL,QUANTITY_AUG,QUANTITY_SEP,QUANTITY_OCT,QUANTITY_NOV,QUANTITY_DEC,ELEC_QUANTITY_JAN,ELEC_QUANTITY_FEB,ELEC_QUANTITY_MAR,ELEC_QUANTITY_APR,ELEC_QUANTITY_MAY,ELEC_QUANTITY_JUN,ELEC_QUANTITY_JUL,ELEC_QUANTITY_AUG,ELEC_QUANTITY_SEP,ELEC_QUANTITY_OCT,ELEC_QUANTITY_NOV,ELEC_QUANTITY_DEC,MMBTU_PER_UNIT_JAN,MMBTU_PER_UNIT_FEB,MMBTU_PER_UNIT_MAR,MMBTU_PER_UNIT_APR,MMBTU_PER_UNIT_MAY,MMBTU_PER_UNIT_JUN,MMBTU_PER_UNIT_JUL,MMBTU_PER_UNIT_AUG,MMBTU_PER_UNIT_SEP,MMBTU_PER_UNIT_OCT,MMBTU_PER_UNIT_NOV,MMBTU_PER_UNIT_DEC,TOT_MMBTU_JAN,TOT_MMBTU_FEB,TOT_MMBTU_MAR,TOT_MMBTU_APR,TOT_MMBTU_MAY,TOT_MMBTU_JUN,TOT_MMBTU_JUL,TOT_MMBTU_AUG,TOT_MMBTU_SEP,TOT_MMBTU_OCT,TOT_MMBTU_NOV,TOT_MMBTU_DEC,ELEC_MMBTUS_JAN,ELEC_MMBTUS_FEB,ELEC_MMBTUS_MAR,ELEC_MMBTUS_APR,ELEC_MMBTUS_MAY,ELEC_MMBTUS_JUN,ELEC_MMBTUS_JUL,ELEC_MMBTUS_AUG,ELEC_MMBTUS_SEP,ELEC_MMBTUS_OCT,ELEC_MMBTUS_NOV,ELEC_MMBTUS_DEC,NETGEN_JAN,NETGEN_FEB,NETGEN_MAR,NETGEN_APR,NETGEN_MAY,NETGEN_JUN,NETGEN_JUL,NETGEN_AUG,NETGEN_SEP,NETGEN_OCT,NETGEN_NOV,NETGEN_DEC,TOTAL FUEL CONSUMPTION QUANTITY,ELECTRIC FUEL CONSUMPTION QUANTITY,TOTAL FUEL CONSUMPTION MMBTUS,ELEC FUEL CONSUMPTION MMBTUS,NET GENERATION (megawatthours),Year,Heatrate
1183,55641,N,,Riverside Energy Center,Rock River Energy LLC,16204,WI,ENC ,MRO,,22,2,NAICS-22 Non-Cogen,CA,NG,NG,,,mcf,65,"8,395","7,303","1,173","36,603","22,338","48,528","86,828","10,722","20,748","3,499",627,65,"8,395","7,303","1,173","36,603","22,338","48,528","86,828","10,722","20,748","3,499",627,1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,66,"8,655","7,544","1,212","37,811","23,075","50,129","88,999","11,076","21,433","3,614",648,66,"8,655","7,544","1,212","37,811","23,075","50,129","88,999","11,076","21,433","3,614",648,"54,548","75,584","35,105","25,625","37,939","54,396","58,194","65,513","25,375","22,177","26,921","30,093","246,829","246,829","254,262",254262.0,511470.0,2007,497.1200657
1184,55641,N,,Riverside Energy Center,Rock River Energy LLC,16204,WI,ENC ,MRO,,22,2,NAICS-22 Non-Cogen,CT,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2007,-999999.0
1185,55641,N,,Riverside Energy Center,Rock River Energy LLC,16204,WI,ENC ,MRO,,22,2,NAICS-22 Non-Cogen,CT,NG,NG,,,mcf,"1,098,856","1,451,312","648,853","492,654","583,959","925,443","954,517","1,021,904","468,907","386,427","533,577","641,686","1,098,856","1,451,312","648,853","492,654","583,959","925,443","954,517","1,021,904","468,907","386,427","533,577","641,686",1.02,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,"1,124,130","1,496,303","670,265","508,912","603,230","955,983","986,016","1,047,452","484,381","399,179","551,185","662,862","1,124,130","1,496,303","670,265","508,912","603,230","955,983","986,016","1,047,452","484,381","399,179","551,185","662,862","95,038","132,649","61,310","46,527","55,341","83,725","86,067","91,495","40,440","33,934","48,206","58,374","9,208,095","9,208,095","9,489,898",9489898.0,833106.0,2007,11390.98506
1186,55656,N,,Pastoria Energy Facility LLC,Calpine Corp,2820,CA,PACC,WECC,,22,2,NAICS-22 Non-Cogen,CA,NG,NG,,,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"141,845","136,320","140,092","140,284","110,051","141,989","147,900","166,277","138,828","159,737","157,693","125,166",0,0,0,0.0,1706182.0,2007,0.0
1187,55656,N,,Pastoria Energy Facility LLC,Calpine Corp,2820,CA,PACC,WECC,,22,2,NAICS-22 Non-Cogen,CT,NG,NG,,,mcf,"2,860,912","2,595,843","2,779,408","3,341,315","2,118,871","2,735,633","2,854,328","3,154,473","2,677,093","3,102,690","2,966,933","2,434,457","2,860,912","2,595,843","2,779,408","3,341,315","2,118,871","2,735,633","2,854,328","3,154,473","2,677,093","3,102,690","2,966,933","2,434,457",1.05,1.05,1.04,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,"3,003,958","2,728,231","2,898,923","3,491,674","2,214,220","2,858,736","2,982,773","3,312,197","2,805,593","3,251,619","3,121,214","2,563,483","3,003,958","2,728,231","2,898,923","3,491,674","2,214,220","2,858,736","2,982,773","3,312,197","2,805,593","3,251,619","3,121,214","2,563,483","268,202","260,828","253,040","252,895","198,320","258,277","268,551","299,004","252,476","294,287","293,321","238,235","33,621,956","33,621,956","35,232,621",35232621.0,3137436.0,2007,11229.74971
1188,55661,N,,NAEA Newington Power,NAEA Newington Energy LLC,13538,NH,NEW ,NPCC,,22,2,NAICS-22 Non-Cogen,CA,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21,2007,0.0
1189,55661,N,,NAEA Newington Power,NAEA Newington Energy LLC,13538,NH,NEW ,NPCC,,22,2,NAICS-22 Non-Cogen,CA,NG,NG,,,mcf,0,0,0,0,0,"15,831","43,504","59,800","39,487","3,708",0,0,0,0,0,0,0,"15,831","43,504","59,800","39,487","3,708",0,0,0.0,0.0,0.0,0.0,0.0,1.06,1.06,1.05,1.07,1.06,0.0,0.0,0,0,0,0,0,"16,828","46,114","63,029","42,330","3,919",0,0,0,0,0,0,0,"16,828","46,114","63,029","42,330","3,919",0,0,0,0,0,0,0,"2,311","6,266","8,613","6,056",588,0,0,"162,330","162,330","172,220",172220.0,23833.79,2007,7225.876139
1190,55661,N,,NAEA Newington Power,NAEA Newington Energy LLC,13538,NH,NEW ,NPCC,,22,2,NAICS-22 Non-Cogen,CT,DFO,DFO,,,barrels,63,"17,091","15,905",0,0,26,0,0,0,0,0,"30,065",63,"17,091","15,905",0,0,26,0,0,0,0,0,"30,065",5.79,5.79,5.8,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,5.86,365,"99,008","92,217",0,0,151,0,0,0,0,0,"176,211",365,"99,008","92,217",0,0,151,0,0,0,0,0,"176,211",49,"13,211","12,081",0,0,21,0,0,0,0,0,"24,307","63,150","63,150","367,952",367952.0,49668.89,2007,7408.098503
1191,55661,N,,NAEA Newington Power,NAEA Newington Energy LLC,13538,NH,NEW ,NPCC,,22,2,NAICS-22 Non-Cogen,CT,NG,NG,,,mcf,"1,786,550","1,723,462","1,760,520","1,393,597","1,590,738","1,528,868","1,686,328","2,099,445","1,958,055","1,208,760","1,577,304","1,633,436","1,786,550","1,723,462","1,760,520","1,393,597","1,590,738","1,528,868","1,686,328","2,099,445","1,958,055","1,208,760","1,577,304","1,633,436",1.03,1.05,1.05,1.07,1.08,1.06,1.06,1.05,1.07,1.06,1.06,1.05,"1,836,573","1,801,018","1,853,828","1,485,574","1,713,225","1,625,187","1,787,508","2,212,815","2,099,035","1,277,659","1,667,210","1,710,207","1,836,573","1,801,018","1,853,828","1,485,574","1,713,225","1,625,187","1,787,508","2,212,815","2,099,035","1,277,659","1,667,210","1,710,207","245,691","240,318","242,859","194,407","236,989","223,135","242,885","302,377","300,287","191,759","229,409","235,915","19,947,063","19,947,063","21,069,839",21069839.0,2886031.11,2007,7300.627806
1192,55662,N,,Chehalis Generating Facility,PacifiCorp,14354,WA,PACC,WECC,,22,2,NAICS-22 Non-Cogen,CA,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2007,-999999.0
